institute,program,quota,seat_type,gender,opening_rank,closing_rank,round,year,is_special_round,institute_type,is_pwd,category_base,gender_short,rank_window,competitiveness_score,iit_generation,nit_region,program_category,yoy_closing_rank_change,is_new_age_program,is_top_tier_college,accessibility_label,last_round
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),27646,27646,6,2022,False,GFTI,False,EWS,FO,0,0.6647,Not IIT,Not NIT,Other,0.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,6569,7003,5,2019,False,GFTI,False,EWS,GN,434,0.825,Not IIT,Not NIT,Other,-6155.0,False,False,High Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12126,14062,5,2024,False,GFTI,False,EWS,GN,1936,0.9092,Not IIT,Not NIT,Other,460.0,False,False,High Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,10890,11172,6,2020,False,GFTI,False,EWS,GN,282,0.877,Not IIT,Not NIT,Other,-2111.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,13491,13870,6,2021,False,GFTI,False,EWS,GN,379,0.8212,Not IIT,Not NIT,Other,2698.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12621,13007,6,2022,False,GFTI,False,EWS,GN,386,0.8423,Not IIT,Not NIT,Other,-863.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12933,13631,6,2023,False,GFTI,False,EWS,GN,698,0.8841,Not IIT,Not NIT,Other,624.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,12157,13458,6,2025,False,GFTI,False,EWS,GN,1301,0.9008,Not IIT,Not NIT,Other,-173.0,False,False,High Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,41077,42335,5,2024,False,GFTI,False,EWS,GN,1258,0.7266,Not IIT,Not NIT,Other,12257.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,39191,40919,6,2020,False,GFTI,False,EWS,GN,1728,0.5496,Not IIT,Not NIT,Other,3388.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,39264,43141,6,2021,False,GFTI,False,EWS,GN,3877,0.4439,Not IIT,Not NIT,Other,2222.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,27663,31666,6,2022,False,GFTI,False,EWS,GN,4003,0.616,Not IIT,Not NIT,Other,-11475.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,31241,35500,6,2023,False,GFTI,False,EWS,GN,4259,0.6982,Not IIT,Not NIT,Other,3834.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,34370,38007,6,2025,False,GFTI,False,EWS,GN,3637,0.7199,Not IIT,Not NIT,Other,2507.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),19240,19240,5,2019,False,GFTI,False,OBC-NCL,FO,0,0.9556,Not IIT,Not NIT,Other,625.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),28093,28093,5,2024,False,GFTI,False,OBC-NCL,FO,0,0.9508,Not IIT,Not NIT,Other,3213.0,False,False,Moderate Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),19266,19266,6,2018,False,GFTI,False,OBC-NCL,FO,0,0.9521,Not IIT,Not NIT,Other,-6481.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),21461,21461,6,2020,False,GFTI,False,OBC-NCL,FO,0,0.9454,Not IIT,Not NIT,Other,2195.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),26800,26800,6,2021,False,GFTI,False,OBC-NCL,FO,0,0.9122,Not IIT,Not NIT,Other,5339.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25407,25407,6,2022,False,GFTI,False,OBC-NCL,FO,0,0.9222,Not IIT,Not NIT,Other,-1393.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),24880,24880,6,2023,False,GFTI,False,OBC-NCL,FO,0,0.9394,Not IIT,Not NIT,Other,-527.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),25747,25747,6,2025,False,GFTI,False,OBC-NCL,FO,0,0.9541,Not IIT,Not NIT,Other,867.0,False,False,Moderate Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),97172,97172,5,2024,False,GFTI,False,OBC-NCL,FO,0,0.8297,Not IIT,Not NIT,Other,15841.0,False,False,Low Competition,5
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),113386,113386,6,2018,False,GFTI,False,OBC-NCL,FO,0,0.7179,Not IIT,Not NIT,Other,35934.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),145568,148142,6,2020,False,GFTI,False,OBC-NCL,FO,2574,0.6229,Not IIT,Not NIT,Other,34756.0,False,False,Low Competition,6
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),109376,111808,6,2021,False,GFTI,False,OBC-NCL,FO,2432,0.6339,Not IIT,Not NIT,Other,-36334.0,False,False,Low Competition,6
