program_id,program,program_category,is_new_age_program
1,"Agricultural Engineering (4 Years, Bachelor of Technology)",Other,False
2,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CS,False
3,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electrical_Electronics,False
4,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Electrical_Electronics,False
5,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",Other,False
6,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",Other,False
7,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and M. Tech. /MBA)",Other,False
8,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",Other,False
9,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",CS,False
10,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical,False
11,"Architecture (5 Years, Bachelor of Architecture)",Architecture_Planning,False
12,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",CS,True
13,"Bio Technology (4 Years, Bachelor of Technology)",Other,False
14,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical,False
15,"Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",Chemical,False
16,"Chemistry (5 Years, Integrated Master of Science)",Science_Interdisciplinary,False
17,"Civil Engineering (4 Years, Bachelor of Technology)",Civil,False
18,"Food Engineering and Technology (4 Years, Bachelor of Technology)",Chemical,False
19,"Food Technology (5 Years, Integrated Master of Science)",Chemical,False
20,"Information Technology (4 Years, Bachelor of Technology)",CS,False
21,"Mathematics and Computing (5 Years, Integrated Master of Science)",CS,False
22,"Physics (5 Years, Integrated Master of Science)",Science_Interdisciplinary,False
23,"Production Engineering (4 Years, Bachelor of Technology)",Mechanical,False
24,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Mechanical,False
25,"Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",CS,True
26,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical_Electronics,False
